Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
1738,1.06,Ideal,D,SI2,62.3,55.0,6.5,6.54,4.06,5159
13666,0.28,Very Good,F,VS1,61.0,59.0,4.23,4.29,2.6,487
19926,1.01,Ideal,E,SI1,60.7,57.0,6.52,6.49,3.95,4853
10966,0.53,Very Good,G,SI1,61.0,55.0,5.21,5.32,3.21,1219
20393,0.36,Premium,J,SI1,61.6,60.0,4.58,4.54,2.81,527
6470,0.7,Good,H,VS2,63.9,59.0,5.6,5.64,3.59,2330
24972,0.91,Very Good,J,VS2,62.6,55.0,6.17,6.19,3.87,3299
7400,1.5,Fair,D,SI1,65.1,59.0,7.1,7.01,4.59,10374
10939,0.33,Very Good,F,VVS1,61.1,58.0,4.42,4.46,2.71,912
6524,0.59,Ideal,F,SI2,60.1,57.0,5.45,5.49,3.29,1371
17635,0.32,Ideal,E,VS2,61.8,54.0,4.43,4.4,2.73,768
10173,0.53,Ideal,E,VS1,61.5,57.0,5.22,5.25,3.22,1928
13969,1.04,Premium,I,VS1,61.6,56.0,6.59,6.52,4.04,4892
700,0.49,Ideal,D,VS1,62.3,55.0,5.03,5.05,3.14,1934
13114,0.5,Good,G,SI2,62.3,64.0,5.1,5.02,3.15,1121
7545,1.43,Ideal,H,VVS2,61.6,54.0,7.25,7.29,4.48,10129
15450,0.3,Ideal,G,IF,61.9,57.0,4.27,4.29,2.65,863
23576,0.31,Very Good,G,VVS1,58.8,59.0,4.44,4.47,2.62,778
18346,1.12,Very Good,G,SI2,63.3,58.0,6.7,6.63,4.22,4478
19656,0.81,Ideal,D,VS2,62.1,56.0,6.01,5.98,3.72,4087
23280,0.33,Ideal,H,VVS1,,55.0,4.4,4.44,2.75,752
13480,1.18,Ideal,F,VVS2,60.6,55.0,6.84,6.88,4.16,11415
26003,1.01,Good,F,VVS2,61.1,65.0,6.38,6.42,3.91,8956
3081,0.32,Ideal,D,VS2,61.9,55.0,4.44,4.41,2.74,972
25901,1.01,Ideal,G,VS2,62.4,56.0,6.41,6.37,3.99,6108
12532,1.15,Ideal,H,SI1,62.4,54.0,6.71,6.76,4.2,6106
1526,1.02,Premium,E,SI2,62.9,56.0,6.43,6.36,4.02,4478
3947,1.53,Premium,J,VVS1,61.6,59.0,7.35,7.39,4.54,9384
16975,0.42,Ideal,H,IF,61.9,56.0,4.79,4.81,2.97,1216
19865,1.33,Fair,E,SI2,65.0,57.0,6.93,6.89,4.49,4916
12769,1.5,Ideal,I,VS1,62.2,54.0,7.33,7.4,4.57,10406
12054,0.3,Very Good,G,VS1,63.4,58.0,4.25,4.23,2.69,776
25205,0.7,Good,E,VS2,61.5,61.0,5.64,5.74,3.5,2473
16396,0.59,Ideal,F,SI1,62.0,57.0,5.41,5.34,3.33,1561
15195,0.74,Ideal,G,VS2,62.9,54.0,5.81,5.78,3.64,2723
2307,1.41,Good,F,SI1,63.7,58.0,7.06,7.01,4.48,8212
5748,1.22,Very Good,J,VS2,60.8,56.0,6.95,6.91,4.21,5160
9106,0.91,Ideal,E,SI2,62.7,57.0,6.19,6.26,3.9,3756
4245,2.01,Fair,J,SI1,64.4,61.0,7.74,7.78,5.0,11212
9292,0.32,Very Good,H,VS2,62.4,58.0,4.33,4.36,2.71,505
12048,1.11,Ideal,H,SI1,62.3,55.0,6.7,6.65,4.16,5456
4970,1.18,Premium,G,VVS2,61.0,58.0,6.79,6.84,4.16,7881
17728,1.27,Very Good,I,I1,60.2,62.0,7.0,7.05,4.23,3665
1760,1.24,Very Good,J,SI2,63.3,60.0,6.83,6.75,4.29,3908
8573,0.53,Very Good,G,VS1,60.2,55.0,5.25,5.28,3.17,1722
23768,0.7,Very Good,H,SI1,60.4,61.0,5.68,5.77,3.46,2296
16180,0.78,Very Good,D,SI1,62.4,58.0,5.86,5.9,3.67,2945
10709,1.0,Premium,E,SI2,61.0,59.0,6.4,6.33,3.89,3752
24762,2.3,Ideal,I,SI2,61.8,57.0,8.48,8.45,5.23,16329
18869,0.32,Ideal,D,VS2,61.7,55.0,4.39,4.42,2.72,1066
5357,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,3740
616,1.0,Ideal,F,VS1,61.9,57.0,6.41,6.39,3.96,7526
14757,2.02,Premium,I,SI2,62.9,60.0,8.05,8.01,5.05,13991
4107,1.51,Very Good,H,VS2,60.9,57.0,7.39,7.43,4.51,11068
2240,0.93,Premium,E,SI2,62.9,57.0,6.25,6.19,3.91,3984
12135,0.32,Premium,G,IF,,59.0,4.48,4.51,2.67,954
17577,0.32,Good,H,VS2,63.1,55.0,4.33,4.36,2.74,505
10132,0.7,Premium,G,VVS2,60.6,60.0,5.77,5.69,3.47,2999
6972,0.77,Ideal,H,VS2,61.3,56.0,5.91,5.94,3.63,3996
24969,1.06,Ideal,G,VS2,62.2,56.0,6.51,6.54,4.06,6660
26183,1.01,Ideal,D,SI1,62.0,57.0,6.37,6.44,3.97,5832
267,0.43,Ideal,D,VS2,62.0,55.0,4.86,4.81,3.0,1129
22882,0.3,Premium,E,VVS2,60.8,60.0,4.31,4.27,2.61,1013
8505,1.0,Ideal,D,SI1,62.8,55.0,6.3,6.38,3.98,5639
3592,0.6,Ideal,D,VS2,61.4,53.0,5.45,5.5,3.36,2473
6686,1.84,Ideal,J,VS1,62.4,56.0,7.84,7.8,4.89,8828
3685,0.33,Ideal,G,VS1,61.9,55.0,4.41,4.44,2.74,666
23653,1.2,Premium,H,VS2,61.4,59.0,6.79,6.75,4.16,6333
17640,0.55,Ideal,F,SI2,61.2,56.0,5.29,5.23,3.22,1263
21837,1.25,Premium,J,SI2,62.3,59.0,6.86,6.82,4.26,4410
12985,0.72,Ideal,F,VS1,61.8,56.0,5.72,5.77,3.55,3489
6681,1.04,Premium,D,VS1,62.3,59.0,6.48,6.39,4.01,8341
10604,0.91,Premium,F,SI2,59.8,58.0,6.29,6.26,3.75,2564
13692,0.71,Ideal,G,IF,61.8,57.0,5.7,5.75,3.54,3772
14996,0.71,Ideal,F,SI1,59.8,53.0,5.86,5.82,3.49,2838
6349,0.92,Fair,H,VS1,56.0,60.0,6.53,6.51,3.65,3924
9838,2.05,Premium,G,SI1,62.2,56.0,8.19,8.08,5.06,13767
15333,0.4,Premium,G,VS1,60.7,58.0,4.78,4.81,2.91,877
4569,0.33,Ideal,E,VS2,62.1,57.0,4.41,4.44,2.75,723
15030,0.3,Very Good,E,IF,60.1,60.0,4.3,4.32,2.59,1026
511,1.01,Very Good,I,SI2,63.5,57.0,6.35,6.37,4.04,4244
13091,0.5,Ideal,E,SI1,61.9,55.0,5.18,5.12,3.19,1409
11658,0.36,Very Good,G,VS1,61.8,56.0,4.57,4.6,2.84,741
24234,0.82,Very Good,H,SI1,63.6,56.0,5.9,5.95,3.77,2908
671,1.61,Ideal,G,VS2,62.2,56.0,7.57,7.5,4.69,9521
14599,0.9,Good,D,SI2,59.5,62.0,6.2,6.23,3.7,3798
15097,1.01,Premium,I,SI2,59.6,62.0,6.56,6.5,3.89,3767
25033,1.5,Premium,F,VS1,62.2,60.0,7.3,7.27,4.53,15851
18371,0.72,Premium,D,SI1,60.5,57.0,5.89,5.85,3.55,3048
19824,2.16,Ideal,H,SI1,61.9,57.0,8.3,8.38,5.16,17820
19427,0.3,Premium,H,VS1,62.0,58.0,4.28,4.24,2.64,675
1663,1.18,Ideal,I,VS1,62.2,55.0,6.8,6.77,4.22,6272
8230,0.41,Ideal,D,SI1,61.4,56.0,4.8,4.77,2.94,1015
17327,0.3,Ideal,F,VS2,62.3,57.0,4.33,4.3,2.69,776
13649,0.71,Ideal,F,SI2,61.2,55.0,5.77,5.79,3.54,2365
19670,0.71,Good,F,VS2,57.8,60.0,5.9,5.87,3.4,2801
10948,0.23,Premium,E,VVS1,61.3,60.0,4.01,3.95,2.44,680
9970,1.5,Very Good,F,SI1,63.4,58.0,7.2,7.16,4.55,10962
17132,0.74,Ideal,D,SI2,61.1,57.0,5.81,5.84,3.56,2690
21280,1.02,Good,E,VS2,63.2,60.0,6.29,6.34,3.99,6462
11418,0.5,Ideal,I,SI1,62.0,55.0,5.08,5.11,3.16,982
36,1.21,Premium,J,VVS2,61.7,60.0,6.82,6.85,4.22,5431
1597,0.51,Premium,F,SI1,61.4,59.0,5.13,5.13,3.16,1421
2942,0.84,Premium,E,VS2,62.4,60.0,6.04,5.98,3.75,3528
18633,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5539
341,1.16,Premium,G,VS1,61.9,58.0,6.76,6.72,4.17,8107
15541,2.0,Fair,J,I1,66.5,56.0,7.93,7.8,5.23,6796
988,0.32,Good,H,SI1,63.5,57.0,4.34,4.39,2.77,461
23054,1.0,Fair,F,SI1,68.7,55.0,6.06,5.88,4.11,3387
26398,0.31,Ideal,G,VS1,61.3,56.0,4.36,4.38,2.68,625
6375,1.18,Ideal,I,VVS1,59.7,54.0,6.99,6.92,4.15,6494
13777,1.02,Premium,E,SI1,61.4,58.0,6.48,6.45,3.97,5956
16594,1.01,Ideal,H,VS2,62.7,56.0,6.4,6.35,4.0,5260
24232,0.25,Ideal,H,VVS1,62.5,56.0,4.06,4.03,2.53,577
5049,0.4,Very Good,D,VS2,62.3,60.0,4.66,4.68,2.91,850
24653,1.0,Very Good,E,VS1,59.4,56.0,6.53,6.56,3.89,7367
8823,0.43,Premium,H,SI1,59.0,58.0,4.93,4.96,2.92,716
1316,0.96,Premium,E,SI1,58.7,62.0,6.41,6.39,3.76,4365
6073,0.32,Ideal,G,VVS1,61.7,56.0,4.37,4.41,2.71,730
6965,1.11,Ideal,D,SI2,61.6,55.0,6.66,6.62,4.09,5648
3379,1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,5813
18977,1.51,Good,E,I1,63.6,60.0,7.3,7.26,4.63,5647
15151,1.51,Ideal,J,VS2,,56.0,7.37,7.4,4.54,8203
12681,0.7,Good,H,SI1,63.7,59.0,5.53,5.59,3.54,2218
22772,0.42,Ideal,G,SI2,62.3,55.0,4.8,4.83,3.0,686
25291,0.53,Ideal,E,SI1,61.9,55.0,5.18,5.22,3.22,1435
3844,0.31,Ideal,G,SI1,61.2,55.0,4.37,4.39,2.68,446
10058,0.35,Ideal,D,SI1,62.3,55.0,4.51,4.54,2.82,644
20155,2.2,Ideal,H,VS2,61.7,55.0,8.41,8.38,5.18,17460
21960,0.56,Premium,E,VS2,61.0,62.0,5.36,5.28,3.24,1882
23609,0.59,Ideal,F,VVS2,62.0,54.0,5.36,5.38,3.33,2679
22594,1.0,Fair,E,VS1,64.4,55.0,6.33,6.3,4.07,7392
4556,0.34,Very Good,G,VVS1,61.7,56.0,4.49,4.51,2.78,819
7968,0.55,Premium,G,VS1,62.0,57.0,5.3,5.25,3.27,1881
20081,0.31,Ideal,H,IF,61.8,57.0,4.32,4.35,2.68,789
1853,0.33,Ideal,D,VS2,,55.0,4.47,4.5,2.73,781
9300,0.35,Ideal,D,VS2,60.6,57.0,4.63,4.58,2.79,964
171,1.53,Very Good,F,SI1,58.5,59.0,7.55,7.62,4.44,11713
10592,0.26,Ideal,H,VVS2,62.5,54.0,4.11,4.14,2.58,508
25053,0.93,Good,D,SI1,63.8,59.0,6.21,6.15,3.94,3812
12145,1.0,Very Good,F,SI2,62.7,58.0,6.3,6.36,3.97,3789
24267,0.71,Ideal,H,VS1,60.3,59.0,5.75,5.79,3.48,2487
8302,1.01,Good,F,SI2,63.6,59.0,6.34,6.37,4.04,4121
21613,1.25,Ideal,F,VS1,62.0,55.0,6.95,6.91,4.3,9761
6714,0.24,Very Good,F,VS2,61.9,59.0,3.98,4.0,2.47,419
23307,0.62,Ideal,D,SI1,61.6,55.0,5.49,5.51,3.39,1934
3272,1.7,Premium,D,SI1,61.9,59.0,7.64,7.61,4.72,15238
2816,0.32,Ideal,H,VVS1,61.9,55.0,4.37,4.38,2.71,730
23947,0.43,Very Good,G,SI1,62.3,59.0,4.79,4.81,2.99,754
15046,0.35,Premium,G,VS1,62.9,58.0,4.49,4.48,2.82,906
